dateandtime,G,D,GHI,DHI
01/01/2011 0:00,0,0,0,0
01/01/2011 1:00,0,0,0,0
01/01/2011 2:00,0,0,0,0
01/01/2011 3:00,0,0,0,0
01/01/2011 4:00,0,0,0,0
01/01/2011 5:00,0,0,0,0
01/01/2011 6:00,0,0,0,0
01/01/2011 7:00,0,0,0,0
01/01/2011 8:00,0,0,0,0
01/01/2011 9:00,0,0.008,0,8
01/01/2011 10:00,0.004,0.035,4,35
01/01/2011 11:00,0.006,0.052,6,52
01/01/2011 12:00,0.007,0.055,7,55
01/01/2011 13:00,0.005,0.044,5,44
01/01/2011 14:00,0.001,0.018,1,18
01/01/2011 15:00,0,0,0,0
01/01/2011 16:00,0,0,0,0
01/01/2011 17:00,0,0,0,0
01/01/2011 18:00,0,0,0,0
01/01/2011 19:00,0,0,0,0
01/01/2011 20:00,0,0,0,0
01/01/2011 21:00,0,0,0,0
01/01/2011 22:00,0,0,0,0
01/01/2011 23:00,0,0,0,0
02/01/2011 0:00,0,0,0,0
02/01/2011 1:00,0,0,0,0
02/01/2011 2:00,0,0,0,0
02/01/2011 3:00,0,0,0,0
02/01/2011 4:00,0,0,0,0
02/01/2011 5:00,0,0,0,0
02/01/2011 6:00,0,0,0,0
02/01/2011 7:00,0,0,0,0
02/01/2011 8:00,0,0,0,0
02/01/2011 9:00,0,0.007,0,7
02/01/2011 10:00,0.003,0.035,3,35
02/01/2011 11:00,0.007,0.054,7,54
02/01/2011 12:00,0.009,0.058,9,58
02/01/2011 13:00,0.006,0.046,6,46
02/01/2011 14:00,0.002,0.02,2,20
02/01/2011 15:00,0,0,0,0
02/01/2011 16:00,0,0,0,0
02/01/2011 17:00,0,0,0,0
02/01/2011 18:00,0,0,0,0
02/01/2011 19:00,0,0,0,0
02/01/2011 20:00,0,0,0,0
02/01/2011 21:00,0,0,0,0
02/01/2011 22:00,0,0,0,0
02/01/2011 23:00,0,0,0,0
03/01/2011 0:00,0,0,0,0
03/01/2011 1:00,0,0,0,0
03/01/2011 2:00,0,0,0,0
03/01/2011 3:00,0,0,0,0
03/01/2011 4:00,0,0,0,0
03/01/2011 5:00,0,0,0,0
03/01/2011 6:00,0,0,0,0
03/01/2011 7:00,0,0,0,0
03/01/2011 8:00,0,0,0,0
03/01/2011 9:00,0,0.002,0,2
03/01/2011 10:00,0,0.011,0,11
03/01/2011 11:00,0,0.018,0,18
03/01/2011 12:00,0,0.022,0,22
03/01/2011 13:00,0,0.016,0,16
03/01/2011 14:00,0,0.008,0,8
03/01/2011 15:00,0,0,0,0
03/01/2011 16:00,0,0,0,0
03/01/2011 17:00,0,0,0,0
03/01/2011 18:00,0,0,0,0
03/01/2011 19:00,0,0,0,0
03/01/2011 20:00,0,0,0,0
03/01/2011 21:00,0,0,0,0
03/01/2011 22:00,0,0,0,0
03/01/2011 23:00,0,0,0,0
04/01/2011 0:00,0,0,0,0
04/01/2011 1:00,0,0,0,0
04/01/2011 2:00,0,0,0,0
04/01/2011 3:00,0,0,0,0
04/01/2011 4:00,0,0,0,0
04/01/2011 5:00,0,0,0,0
04/01/2011 6:00,0,0,0,0
04/01/2011 7:00,0,0,0,0
04/01/2011 8:00,0,0,0,0
04/01/2011 9:00,0,0.005,0,5
04/01/2011 10:00,0.001,0.023,1,23
04/01/2011 11:00,0.001,0.036,1,36
04/01/2011 12:00,0.001,0.037,1,37
04/01/2011 13:00,0.001,0.027,1,27
04/01/2011 14:00,0,0.012,0,12
04/01/2011 15:00,0,0.001,0,1
04/01/2011 16:00,0,0,0,0
04/01/2011 17:00,0,0,0,0
04/01/2011 18:00,0,0,0,0
04/01/2011 19:00,0,0,0,0
04/01/2011 20:00,0,0,0,0
04/01/2011 21:00,0,0,0,0
04/01/2011 22:00,0,0,0,0
04/01/2011 23:00,0,0,0,0
05/01/2011 0:00,0,0,0,0
05/01/2011 1:00,0,0,0,0
05/01/2011 2:00,0,0,0,0
05/01/2011 3:00,0,0,0,0
05/01/2011 4:00,0,0,0,0
05/01/2011 5:00,0,0,0,0
05/01/2011 6:00,0,0,0,0
