dateandtime,GHI,DHI
01/01/2019 0:00,0,0
01/01/2019 1:00,0,0
01/01/2019 2:00,0,0
01/01/2019 3:00,0,0
01/01/2019 4:00,0,0
01/01/2019 5:00,0,0
01/01/2019 6:00,0,0
01/01/2019 7:00,0,0
01/01/2019 8:00,0,0
01/01/2019 9:00,8.916,7
01/01/2019 10:00,39.032,32
01/01/2019 11:00,56.443,45
01/01/2019 12:00,49.928,41
01/01/2019 13:00,46.217,38
01/01/2019 14:00,19.52,16
01/01/2019 15:00,0.406,0
01/01/2019 16:00,0,0
01/01/2019 17:00,0,0
01/01/2019 18:00,0,0
01/01/2019 19:00,0,0
01/01/2019 20:00,0,0
01/01/2019 21:00,0,0
01/01/2019 22:00,0,0
01/01/2019 23:00,0,0
02/01/2019 0:00,0,0
02/01/2019 1:00,0,0
02/01/2019 2:00,0,0
02/01/2019 3:00,0,0
02/01/2019 4:00,0,0
02/01/2019 5:00,0,0
02/01/2019 6:00,0,0
02/01/2019 7:00,0,0
02/01/2019 8:00,0,0
02/01/2019 9:00,8.872,7
02/01/2019 10:00,38.328,31
02/01/2019 11:00,63.136,49
02/01/2019 12:00,66.032,52
02/01/2019 13:00,52.145,41
02/01/2019 14:00,23.224,19
02/01/2019 15:00,0.702,1
02/01/2019 16:00,0,0
02/01/2019 17:00,0,0
02/01/2019 18:00,0,0
02/01/2019 19:00,0,0
02/01/2019 20:00,0,0
02/01/2019 21:00,0,0
02/01/2019 22:00,0,0
02/01/2019 23:00,0,0
03/01/2019 0:00,0,0
03/01/2019 1:00,0,0
03/01/2019 2:00,0,0
03/01/2019 3:00,0,0
03/01/2019 4:00,0,0
03/01/2019 5:00,0,0
03/01/2019 6:00,0,0
03/01/2019 7:00,0,0
03/01/2019 8:00,0,0
03/01/2019 9:00,11.084,9
03/01/2019 10:00,41.866,33
03/01/2019 11:00,63.583,50
03/01/2019 12:00,66.879,53
03/01/2019 13:00,42.827,35
03/01/2019 14:00,17.332,15
03/01/2019 15:00,0.59,1
03/01/2019 16:00,0,0
03/01/2019 17:00,0,0
03/01/2019 18:00,0,0
03/01/2019 19:00,0,0
03/01/2019 20:00,0,0
