date and time,kwh/kwp,system size kWp,area m^2,STC Eff
01/01/2019 0:00,5.144032922,4.86,35.37,13.7
01/02/2019 0:00,21.87194355,4.86,35.37,13.7
01/03/2019 0:00,44.71728472,4.86,35.37,13.7
01/04/2019 0:00,65.0849112,4.86,35.37,13.7
01/05/2019 0:00,74.26079973,4.86,35.37,13.7
01/06/2019 0:00,81.57987584,4.86,35.37,13.7
01/07/2019 0:00,54.51383224,4.86,35.37,13.7
01/08/2019 0:00,87.68967726,4.86,35.37,13.7
01/09/2019 0:00,57.78687368,4.86,35.37,13.7
01/10/2019 0:00,22.2375575,4.86,35.37,13.7
01/11/2019 0:00,19.39396879,4.86,35.37,13.7
01/12/2019 0:00,2.167182488,4.86,35.37,13.7
